source_id,display_name,homepage_url,terms_url,license_url,access_method,public_status,attribution_required
nadlan.gov.il,Israeli government real-estate portal,https://www.nadlan.gov.il/,,,public_website,active,true
cbs_table49,CBS Table 4.9,https://www.cbs.gov.il/,https://www.cbs.gov.il/en/Pages/Enduser-license.aspx,,direct_download,active,true
boi_hedonic,Bank of Israel hedonic source material,https://www.boi.org.il/,https://www.boi.org.il/en/terms-of-use/,,public_pdf,active,true
data.gov.il,data.gov.il / CBS locality registry,https://data.gov.il/dataset/citiesandsettelments,,,public_dataset,active,true
